FILE_VERSION	2.0.0
NO_OF_FRAMES	100
NO_OF_CAMERAS	2
NO_OF_MARKERS	4
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-11-16, 11:04:33.792	216061.32651440
DATA_INCLUDED	3D
MARKER_NAMES	cm2	ed2	cm1	ed1
TRAJECTORY_TYPES	Mixed	Measured	Measured	Measured
423.244	134.757	-17.414	411.665	120.958	-17.458	389.099	257.337	-18.116	372.097	249.930	-18.384
423.160	139.938	-17.404	412.895	125.147	-17.572	389.705	256.704	-18.142	373.396	247.835	-18.346
423.082	145.102	-17.439	414.150	129.504	-17.474	390.258	256.090	-18.070	374.829	245.798	-18.298
423.001	150.288	-17.470	415.496	133.910	-17.473	390.838	255.443	-18.107	376.389	243.848	-18.292
422.938	155.422	-17.473	416.953	138.445	-17.550	391.390	254.850	-18.068	378.042	241.985	-18.282
422.833	160.572	-17.452	418.383	143.137	-17.471	391.973	254.233	-18.070	379.793	240.223	-18.200
422.749	165.729	-17.476	419.918	147.963	-17.555	392.532	253.582	-18.053	381.663	238.597	-18.210
422.686	170.788	-17.524	421.367	152.971	-17.457	393.084	252.990	-18.086	383.588	237.082	-18.156
422.604	176.021	-17.554	422.979	157.966	-17.663	393.636	252.438	-18.043	385.588	235.745	-18.114
422.537	181.164	-17.584	424.424	163.370	-17.448	394.158	251.861	-17.999	387.639	234.537	-18.065
422.457	186.327	-17.625	425.982	168.696	-17.574	394.704	251.286	-18.016	389.759	233.447	-18.063
422.379	191.490	-17.633	427.436	174.214	-17.552	395.230	250.659	-18.026	391.873	232.506	-18.024
422.297	196.592	-17.678	428.883	179.873	-17.466	395.751	250.101	-17.980	394.003	231.689	-17.934
422.226	201.721	-17.708	430.305	185.633	-17.527	396.279	249.495	-18.029	396.140	230.929	-17.845
422.476	206.417	-17.734	431.874	191.098	-17.599	396.497	249.305	-17.983	398.008	230.877	-17.813
424.899	207.833	-17.613	435.255	193.048	-17.463	394.636	252.139	-17.841	397.246	233.826	-17.601
427.336	209.189	-17.632	438.572	195.142	-17.330	392.782	255.027	-18.048	396.550	236.843	-18.042
429.766	210.602	-17.551	441.850	197.140	-17.362	390.956	257.848	-18.099	395.798	239.927	-18.032
432.206	211.991	-17.596	445.103	199.351	-17.303	389.125	260.671	-18.130	395.047	243.084	-18.092
434.620	213.335	-17.578	448.274	201.529	-17.373	387.268	263.499	-18.168	394.263	246.311	-18.103
437.055	214.710	-17.530	451.401	203.706	-17.292	385.434	266.317	-18.261	393.444	249.632	-18.091
439.516	216.092	-17.569	454.493	205.999	-17.225	383.578	269.157	-18.289	392.600	252.964	-18.166
441.927	217.478	-17.452	457.491	208.325	-17.146	381.730	272.016	-18.292	391.733	256.386	-18.176
444.375	218.836	-17.419	460.459	210.573	-17.100	379.882	274.830	-18.333	390.814	259.827	-18.239
446.786	220.209	-17.398	463.367	212.956	-17.082	378.010	277.639	-18.349	389.840	263.329	-18.273
449.226	221.543	-17.406	466.212	215.341	-17.050	376.146	280.489	-18.411	388.808	266.874	-18.267
451.628	222.931	-17.351	468.991	217.812	-17.000	374.284	283.267	-18.441	387.758	270.468	-18.327
454.077	224.286	-17.364	471.725	220.175	-17.024	372.429	286.073	-18.482	386.641	274.122	-18.361
456.478	225.612	-17.264	474.370	222.684	-17.081	370.568	288.909	-18.500	385.486	277.825	-18.406
458.950	227.016	-17.277	476.884	225.147	-16.844	368.683	291.745	-18.527	384.252	281.552	-18.476
461.334	228.458	-17.154	479.445	227.579	-16.986	366.789	294.567	-18.568	382.959	285.360	-18.466
463.800	229.640	-17.296	481.828	230.065	-16.835	364.921	297.366	-18.554	381.612	289.140	-18.469
466.193	231.089	-17.150	484.238	232.496	-16.879	363.080	300.151	-18.646	380.192	292.942	-18.548
468.631	232.395	-17.140	486.507	234.875	-16.823	361.194	302.929	-18.694	378.728	296.761	-18.588
471.051	233.715	-17.119	488.782	237.363	-16.803	359.287	305.718	-18.681	377.179	300.638	-18.595
